uniquename	name	genus	species
FBte0001286	Dcad\micropia	Drosophila	cardinoides
FBte0001287	Dnec\micropia	Drosophila	neocardini
FBte0001399	HMS-Beagle2	Drosophila	melanogaster
FBte0001288	Dpmo\micropia	Drosophila	polymorpha
FBte0001402	Dbii\Paris	Drosophila	biarmipes
FBte0001403	Dtak\Paris	Drosophila	takahashii
FBte0001377	Transpac	Drosophila	melanogaster
FBte0001404	Dele\Paris	Drosophila	elegans
FBte0001405	Dkik\Paris	Drosophila	kikkawai
FBte0001406	Dbip\Paris	Drosophila	bipectinata
FBte0001407	Dana\Paris	Drosophila	ananassae
FBte0001408	Dpse\Paris	Drosophila	pseudoobscura pseudoobscura
FBte0001409	Dper\Paris	Drosophila	persimilis
FBte0001378	Dsec\F-element	Drosophila	sechellia
FBte0001410	Dwil\Paris	Drosophila	willistoni
FBte0001379	Dsec\jockey	Drosophila	sechellia
FBte0001411	Dmoj\Paris	Drosophila	mojavensis
FBte0001412	Dgur\Paris	Drosophila	guaru
FBte0001413	Dgrs\Paris	Drosophila	griseolineata
FBte0001414	Dsbd\Paris	Drosophila	subbadia
FBte0001380	Desc\17.6	Drosophila	sechellia
FBte0001381	Dsec\tirant	Drosophila	sechellia
FBte0001415	Dban\Paris	Drosophila	bandeirantorum
FBte0001416	Dcad\Paris	Drosophila	cardinoides
FBte0001382	Dsec\297	Drosophila	sechellia
FBte0001383	Dsec\mdg1	Drosophila	sechellia
FBte0001384	Dsec\opus	Drosophila	sechellia
FBte0001385	Dsec\Stalker	Drosophila	sechellia
FBte0001417	Dprt\Paris	Drosophila	parthenogenetica
FBte0001418	Dddx\Paris	Drosophila	dunni
FBte0001419	Dpmo\Paris	Drosophila	polymorpha
FBte0001420	Drep\Paris	Drosophila	repleta
FBte0001421	Dmex\Paris	Drosophila	mercatorum
FBte0001386	Dsec\Transpac	Drosophila	sechellia
FBte0001422	Dpau\Paris	Drosophila	paulistorum
FBte0001423	Dtro\Paris	Drosophila	tropicalis
FBte0001424	Dequ\Paris	Drosophila	equinoxialis
FBte0001425	Dsuc\Paris	Drosophila	sucinea
FBte0001387	Dyak\17.6	Drosophila	yakuba
FBte0001388	Dyak\297	Drosophila	yakuba
FBte0001426	Dbus\Paris	Drosophila	busckii
FBte0001389	Dyak\blood	Drosophila	yakuba
FBte0001390	Dyak\mdg1	Drosophila	yakuba
FBte0001217	HeT-Tag	Drosophila	melanogaster
FBte0001391	Dyak\opus	Drosophila	yakuba
FBte0001392	Dyak\Stalker	Drosophila	yakuba
FBte0001393	Dyak\Transpac	Drosophila	yakuba
FBte0001299	Dwil\PLT1a	Drosophila	willistoni
FBte0001300	Dwil\PLT1b	Drosophila	willistoni
FBte0001297	PLT1	Drosophila	melanogaster
FBte0001302	Dsim\PLT1	Drosophila	simulans
FBte0001298	Dper\PLT1	Drosophila	persimilis
FBte0001394	Dpse\PLT1	Drosophila	pseudoobscura pseudoobscura
FBte0001304	Dper\PLT2	Drosophila	persimilis
FBte0001305	Dpse\PLT2	Drosophila	pseudoobscura pseudoobscura
FBte0001306	Dwil\PLT2	Drosophila	willistoni
FBte0001307	Dmoj\PLT2	Drosophila	mojavensis
FBte0001309	Dpse\PLT3	Drosophila	pseudoobscura pseudoobscura
FBte0001308	Dper\PLT3	Drosophila	persimilis
FBte0001310	Dper\PLT4	Drosophila	persimilis
FBte0001311	Dpse\PLT4	Drosophila	pseudoobscura pseudoobscura
FBte0001428	Dtrp\harrow	Drosophila	tripunctata
FBte0001429	Dpro\harrow	Drosophila	prosaltans
FBte0001430	Dstu\harrow	Drosophila	sturtevanti
FBte0001431	Dneb\harrow	Drosophila	nebulosa
FBte0001432	Dpau\harrow	Drosophila	paulistorum
FBte0001433	Dequ\harrow	Drosophila	equinoxialis
FBte0001434	Dfum\harrow	Drosophila	fumipennis
FBte0001427	Y-element	Drosophila	melanogaster
FBte0001312	Dyak\F-element	Drosophila	yakuba
FBte0001198	Dana\Maverick	Drosophila	ananassae
FBte0001199	Dgri\Maverick	Drosophila	grimshawi
FBte0001197	Maverick	Drosophila	melanogaster
FBte0001200	Dper\Maverick	Drosophila	persimilis
FBte0001201	Dpse\Maverick	Drosophila	pseudoobscura pseudoobscura
FBte0001202	Dvir\Maverick	Drosophila	virilis
FBte0001203	Dwil\Maverick	Drosophila	willistoni
FBte0001204	Dyak\Maverick	Drosophila	yakuba
FBte0001191	Dana\INE-1	Drosophila	ananassae
FBte0001192	Dere\INE-1	Drosophila	erecta
FBte0001193	Dgri\INE-1	Drosophila	grimshawi
FBte0001194	Dper\INE-1	Drosophila	persimilis
FBte0001195	Dpse\INE-1	Drosophila	pseudoobscura pseudoobscura
FBte0001196	Dsec\INE-1	Drosophila	sechellia
FBte0000589	beamer	Drosophila	melanogaster
FBte0000660	flea	Drosophila	melanogaster
FBte0000279	blood	Drosophila	melanogaster
FBte0000963	Bari2	Drosophila	melanogaster
FBte0000288	FB	Drosophila	melanogaster
FBte0000003	1731	Drosophila	melanogaster
FBte0000720	R1-2	Drosophila	melanogaster
FBte0000978	Dyak\FB	Drosophila	yakuba
FBte0000692	rover	Drosophila	melanogaster
FBte0000794	Harvey	Drosophila	melanogaster
FBte0001166	accord2	Drosophila	melanogaster
FBte0000666	Rt1c	Drosophila	melanogaster
FBte0000688	gypsy4	Drosophila	melanogaster
FBte0000121	Dtei\aurora-element	Drosophila	teissieri
FBte0000527	Dafs\412	Drosophila	affinis
FBte0000632	Ulysses-Dvir-like	Drosophila	melanogaster
FBte0000694	Dpar\micropia	Drosophila	paranaensis
FBte0000695	Dari\R1-element	Drosophila	arizonae
FBte0000658	Sadu\gypsy	Scaptomyza	adusta
FBte0000234	Dboc\I-element	Drosophila	bocqueti
FBte0000251	Dmir\I-element	Drosophila	miranda
FBte0000631	Dtsa\P-element	Drosophila	tsacasi
FBte0000078	Damb\bilbo	Drosophila	ambigua
FBte0000456	Dmil\mariner	Drosophila	microlabis
