# submitted_id	current_id	converted_id	current_symbol
FBgn0013099	FBte0000032	FBte0000032	Dvir\Tv1
FBgn0063432	FBte0000308	FBte0000308	gypsy5
FBgn0063917	FBte0000926	FBte0000926	McClintock
FBgn0063401	FBte0001033	FBte0001033	mariner2
FBgn0027840	FBte0001080	FBte0001080	Dbuz\Galileo
FBgn0004082	FBte0000179	FBte0000179	Tirant
FBgn0003490	FBte0000333	FBte0000333	springer
FBgn0013017	FBte0000242	FBte0000242	Dtei\I-element
FBgn0063504	FBte0001128	FBte0001128	G5
FBgn0000513	FBte0000647	FBte0000647	Dvir\Dv
FBgn0002949	FBte0000466	FBte0000466	NOF
FBgn0045970	FBte0000974	FBte0000974	Tabor
FBgn0069879	FBte0001122	FBte0001122	Dbuz\BuT6
FBgn0042231	FBte0001160	FBte0001160	X-element
FBgn0000481	FBte0000341	FBte0000341	Doc
FBgn0040267	FBte0001377	FBte0001377	Transpac
FBgn0015678	FBte0000415	FBte0000415	Dvir\Paris
FBgn0045754	FBte0001076	FBte0001076	Dbuz\INE-1
FBgn0063782	FBte0001166	FBte0001166	accord2
FBgn0069587	FBte0001039	FBte0001039	Doc4-element
FBgn0063440	FBte0000906	FBte0000906	baggins
FBgn0003908	FBte0000118	FBte0000118	R1A1-element
FBgn0043055	FBte0000608	FBte0000608	Ivk
FBgn0004141	FBte0000143	FBte0000143	HeT-A
FBgn0066141	FBte0000892	FBte0000892	Dwil\Mar
FBgn0067387	FBte0000351	FBte0000351	gypsy10
FBgn0063426	FBte0000188	FBte0000188	invader5
FBgn0026443	FBte0000886	FBte0000886	Dyak\TART-element
FBgn0063425	FBte0001092	FBte0001092	jockey2
FBgn0063434	FBte0001030	FBte0001030	gypsy3
FBgn0063402	FBte0000323	FBte0000323	looper1
FBgn0061191	FBte0000044	FBte0000044	Tc3
FBgn0004904	FBte0000335	FBte0000335	TART-element
FBgn0020425	FBte0000984	FBte0000984	Helena
FBgn0063372	FBte0000626	FBte0000626	transib1
FBgn0063570	FBte0000662	FBte0000662	Dbuz\Kepler
FBgn0067624	FBte0000420	FBte0000420	BS3
FBgn0063431	FBte0001175	FBte0001175	gypsy6
FBgn0023131	FBte0000217	FBte0000217	ZAM
FBgn0069433	FBte0000174	FBte0000174	G5A
FBgn0067468	FBte0000538	FBte0000538	Dvir\HeT-A
FBgn0063436	FBte0001062	FBte0001062	gtwin
FBgn0001210	FBte0000154	FBte0000154	hobo
