# submitted_id	current_id	converted_id	current_symbol
FBte0000042	FBte0000042	FBte0000042	micropia
FBte0001039	FBte0001039	FBte0001039	Doc4-element
FBte0000026	FBte0000026	FBte0000026	Dhyd\Minos
FBte0001206	FBte0001206	FBte0001206	TART-A
FBte0000640	FBte0000640	FBte0000640	Quasimodo
FBte0000720	FBte0000720	FBte0000720	R1-2
FBte0000688	FBte0000688	FBte0000688	gypsy4
FBte0000158	FBte0000158	FBte0000158	Dvir\Penelope
FBte0000616	FBte0000616	FBte0000616	Circe
FBte0000188	FBte0000188	FBte0000188	invader5
FBte0001002	FBte0001002	FBte0001002	Fw2
FBte0000464	FBte0000464	FBte0000464	Dmir\TRAM
FBte0001076	FBte0001076	FBte0001076	Dbuz\INE-1
FBte0001033	FBte0001033	FBte0001033	mariner2
FBte0001481	FBte0001481	FBte0001481	Dsub\GEM-element
FBte0000958	FBte0000958	FBte0000958	G6
FBte0000666	FBte0000666	FBte0000666	Rt1c
FBte0001122	FBte0001122	FBte0001122	Dbuz\BuT6
FBte0000037	FBte0000037	FBte0000037	P-element
FBte0000400	FBte0000400	FBte0000400	Tom1
FBte0000314	FBte0000314	FBte0000314	frogger
FBte0000773	FBte0000773	FBte0000773	Dana\Tom
FBte0000956	FBte0000956	FBte0000956	accord
FBte0000103	FBte0000103	FBte0000103	Doc2-element
FBte0001041	FBte0001041	FBte0001041	gypsy11
FBte0000942	FBte0000942	FBte0000942	Dvir\Tel
FBte0001140	FBte0001140	FBte0001140	Doc3-element
FBte0000765	FBte0000765	FBte0000765	rooA
FBte0001487	FBte0001487	FBte0001487	Dpse\INE-1
FBte0001188	FBte0001188	FBte0001188	Dbuz\BuT5
FBte0000683	FBte0000683	FBte0000683	Dvir\TART-element
FBte0000690	FBte0000690	FBte0000690	G7
FBte0000290	FBte0000290	FBte0000290	G4
FBte0000044	FBte0000044	FBte0000044	Tc3
FBte0000838	FBte0000838	FBte0000838	Tc1-2
FBte0000466	FBte0000466	FBte0000466	NOF
FBte0000885	FBte0000885	FBte0000885	transib2
FBte0000709	FBte0000709	FBte0000709	S2
FBte0000414	FBte0000414	FBte0000414	HB
FBte0000906	FBte0000906	FBte0000906	baggins
FBte0001036	FBte0001036	FBte0001036	Dmer\R1-element
FBte0000726	FBte0000726	FBte0000726	HMS-Beagle
FBte0000341	FBte0000341	FBte0000341	Doc
FBte0000034	FBte0000034	FBte0000034	Bari1
FBte0000692	FBte0000692	FBte0000692	rover
FBte0000284	FBte0000284	FBte0000284	Dsil\Loa
FBte0000242	FBte0000242	FBte0000242	Dtei\I-element
FBte0001092	FBte0001092	FBte0001092	jockey2
FBte0000963	FBte0000963	FBte0000963	Bari2
FBte0001316	FBte0001316	FBte0001316	Xanthias
FBte0000892	FBte0000892	FBte0000892	Dwil\Mar
FBte0000636	FBte0000636	FBte0000636	Fw3
FBte0000353	FBte0000353	FBte0000353	Dwil\Vege
FBte0000266	FBte0000266	FBte0000266	3S18
FBte0001175	FBte0001175	FBte0001175	gypsy6
FBte0000323	FBte0000323	FBte0000323	looper1
FBte0000032	FBte0000032	FBte0000032	Dvir\Tv1
FBte0000780	FBte0000780	FBte0000780	BS
FBte0000982	FBte0000982	FBte0000982	Juan
FBte0000935	FBte0000935	FBte0000935	Dbuz\BuT3
FBte0000288	FBte0000288	FBte0000288	FB
FBte0000112	FBte0000112	FBte0000112	aurora-element
FBte0000148	FBte0000148	FBte0000148	TAHRE
FBte0000660	FBte0000660	FBte0000660	flea
FBte0001042	FBte0001042	FBte0001042	BS4
FBte0000005	FBte0000005	FBte0000005	F-element
FBte0001084	FBte0001084	FBte0001084	invader2
FBte0000322	FBte0000322	FBte0000322	Dvir\Ulysses
FBte0000536	FBte0000536	FBte0000536	Dsim\ninja
FBte0000133	FBte0000133	FBte0000133	I-element
FBte0000926	FBte0000926	FBte0000926	McClintock
FBte0000588	FBte0000588	FBte0000588	Dbuz\Osvaldo
FBte0000626	FBte0000626	FBte0000626	transib1
FBte0000021	FBte0000021	FBte0000021	gypsy
FBte0001040	FBte0001040	FBte0001040	gypsy2
FBte0000179	FBte0000179	FBte0000179	Tirant
FBte0000647	FBte0000647	FBte0000647	Dvir\Dv
FBte0000603	FBte0000603	FBte0000603	Rt1b
FBte0000168	FBte0000168	FBte0000168	gypsy8
FBte0001377	FBte0001377	FBte0001377	Transpac
FBte0000608	FBte0000608	FBte0000608	Ivk
FBte0001144	FBte0001144	FBte0001144	Dfun\Isfun-1
FBte0000675	FBte0000675	FBte0000675	297
FBte0000339	FBte0000339	FBte0000339	Dbuz\BuT2
FBte0000351	FBte0000351	FBte0000351	gypsy10
FBte0001485	FBte0001485	FBte0001485	Dbif\P-element_O
FBte0000357	FBte0000357	FBte0000357	invader1
FBte0001482	FBte0001482	FBte0001482	Dnet\R1A-element
FBte0000007	FBte0000007	FBte0000007	412
FBte0000088	FBte0000088	FBte0000088	jockey
FBte0000154	FBte0000154	FBte0000154	hobo
FBte0001483	FBte0001483	FBte0001483	Dnet\R1B-element
FBte0000015	FBte0000015	FBte0000015	mdg1
