DME9736,FBte0000104,AJ009736,Dmel,Idefix
DMIS176,FBte0000109,X01472,Dmel,17.6
DMTN1731,FBte0000003,X07656,Dmel,1731
DMIS297,FBte0000675,X03431,Dmel,297
DM23420,FBte0000266,U23420,Dmel,3S18
412,FBte0000007,nnnnnnnn,Dmel,412
DMAURA,FBte0000112,nnnnnnnn,Dmel,aurora-element
DMBARI1,FBte0000034,X67681,Dmel,Bari1
BS,FBte0000780,nnnnnnnn,Dmel,BS
DMU89994,FBte0000739,U89994,Dmel,Burdock
DMCOPIA,FBte0000023,X02599,Dmel,copia
DMW1DOC,FBte0000341,X17551,Dmel,Doc
F,FBte0000005,AC005198,Dmel,F-element
FB,FBte0000466,X15469,Dmel,NOF
DMTNFB,FBte0000288,V00246,Dmel,FB
DMREPG,FBte0000657,X06950,Dmel,G-element
DMGYPF1A,FBte0000021,M12927,Dmel,gypsy
DMHFL1,FBte0000154,M69216,Dmel,hobo
DMTHB1,FBte0000414,X01748,Dmel,HB
DM06920,FBte0000143,U06920,Dmel,HeT-A
DMIFACA,FBte0000133,M14954,Dmel,I-element
DMLINEJA,FBte0000088,M22874,Dmel,jockey
DMTRDNA,FBte0000670,X80025,Dmel,hopper
DMRTMGD1,FBte0000015,X59545,Dmel,mdg1
DMMDG3,FBte0000010,X95908,Dmel,mdg3
DMDM11,FBte0000042,X14037,Dmel,micropia
PPI251,FBte0000037,X06779,Dmel,P-element
DMPOGOR11,FBte0000568,X59837,Dmel,pogo
DMRER1DM,FBte0000118,X51968,Dmel,R1A1-element
DMRER2DM,FBte0000030,X51967,Dmel,R2-element
DM33463,FBte0001005,U33463,Dmel,S-element
SPRINGER,FBte0000333,AF364549,Dmel,springer
TARTC,FBte0001208,AY600955,Dmel,TART-C
AY561850,FBte0001206,AY561850,Dmel,TART-A
DM14101,FBte0001207,U14101,Dmel,TART-B
TIRANT,FBte0000179,X93507,Dmel,Tirant
DMBLPP,FBte0000660,Z27119,Dmel,flea
OPUS,FBte0000918,AY180918,Dmel,opus
DM_ROO,FBte0000100,AY180917,Dmel,roo
BLOOD,FBte0000279,AY180916,Dmel,blood
DMZAM,FBte0000217,AJ000387,Dmel,ZAM
DME010298,FBte0000359,AJ010298,Dmel,GATE
ROXELEMENT,FBte0001160,AF237761,Dmel,X-element
AF222049,FBte0001377,AF222049,Dmel,Transpac
CIRC,FBte0000616,nnnnnnnn,Dmel,Circe
DME278684,FBte0000457,AJ278684,Dmel,Rt1a
RT1B,FBte0000603,AC005734,Dmel,Rt1b
QUASIMODO,FBte0000640,AF364550,Dmel,Quasimodo
Beagle,FBte0000726,AF365402,Dmel,HMS-Beagle
Tinker,FBte0000001,AC004377,Dmel,diver
TABOR,FBte0000974,AC007146,Dmel,Tabor
STALKER,FBte0001066,AF420242,Dmel,Stalker
INE1,FBte0000312,U66884,Dmel,INE-1
GTWIN,FBte0001062,AC006215,Dmel,gtwin
GYPSY2,FBte0001040,AL035631,Dmel,gypsy2
ACCORD,FBte0000956,nnnnnnnn,Dmel,accord
1360,FBte0000559,AC005453,Dmel,1360
GYPSY3,FBte0001030,AC007477,Dmel,gypsy3
INVADER,FBte0000357,nnnnnnnn,Dmel,invader1
INVADER2,FBte0001084,nnnnnnnn,Dmel,invader2
INVADER3,FBte0000619,nnnnnnnn,Dmel,invader3
G2,FBte0000800,AC006215,Dmel,G2
DMCR1A,FBte0000140,nnnnnnnn,Dmel,Cr1a
TC1,FBte0000927,nnnnnnnn,Dmel,Tc1
DOC2,FBte0000103,nnnnnnnn,Dmel,Doc2-element
DOC3,FBte0001140,nnnnnnnn,Dmel,Doc3-element
IVK,FBte0000608,nnnnnnnn,Dmel,Ivk
RT1C,FBte0000666,nnnnnnnn,Dmel,Rt1c
GYPSY4,FBte0000688,nnnnnnnn,Dmel,gypsy4
INVADER4,FBte0000292,nnnnnnnn,Dmel,invader4
BAGGINS,FBte0000906,nnnnnnnn,Dmel,baggins
G3,FBte0001171,nnnnnnnn,Dmel,G3
MARINER2,FBte0001033,nnnnnnnn,Dmel,mariner2
TRANSIB1,FBte0000626,nnnnnnnn,Dmel,transib1
TRANSIB3,FBte0000725,nnnnnnnn,Dmel,transib3
TRANSIB2,FBte0000885,nnnnnnnn,Dmel,transib2
GYPSY5,FBte0000308,AE003485,Dmel,gypsy5
GYPSY6,FBte0001175,nnnnnnnn,Dmel,gypsy6
INVADER5,FBte0000188,nnnnnnnn,Dmel,invader5
DIVER2,FBte0001178,nnnnnnnn,Dmel,diver2
TRANSIB4,FBte0001174,nnnnnnnn,Dmel,transib4
S2,FBte0000709,nnnnnnnn,Dmel,S2
DM88,FBte0000267,nnnnnnnn,Dmel,Dm88
JUAN,FBte0000982,AY180919,Dmel,Juan
FROGGER,FBte0000314,AF492763,Dmel,frogger
ROVER,FBte0000692,AF492764,Dmel,rover
DMTOM1_LTR,FBte0000400,,Dmel,Tom1
G5_DM,FBte0001128,,Dmel,G5
G4_DM,FBte0000290,,Dmel,G4
ROOA_LTR,FBte0000765,,Dmel,rooA
JOCKEY2,FBte0001092,,Dmel,jockey2
G6_DM,FBte0000958,,Dmel,G6
LOOPER1_DM,FBte0000323,,Dmel,looper1
QBERT,FBte0001166,AF541947,Dmel,accord2
McCLINTOCK,FBte0000926,AF541948,Dmel,McClintock
STALKER4,FBte0000151,Release3na_arms,Dmel,Stalker4
HOPPER2,FBte0000930,AF541950,Dmel,hopper2
STALKER2,FBte0000472,nnnnnnnn,Dmel,Stalker2
STALKER3,FBte0001157,nnnnnnnn,Dmel,Stalker3
AF541951,FBte0000963,AF541951,Dmel,Bari2
DME487856,FBte0000304,AJ487856,Dmel,Max-element
BS3,FBte0000420,nnnnnnnn,Dmel,BS3
BS4,FBte0001042,nnnnnnnn,Dmel,BS4
DOC4,FBte0001039,nnnnnnnn,Dmel,Doc4-element
DOC5,FBte0000791,nnnnnnnn,Dmel,Porto1
FW2,FBte0001002,nnnnnnnn,Dmel,Fw2
FW3,FBte0000636,nnnnnnnn,Dmel,Fw3
HELITRON1_DM,FBte0000170,AE002840,Dmel,Helitron
R1-2,FBte0000720,nnnnnnnn,Dmel,R1-2
TC1-2,FBte0000838,nnnnnnnn,Dmel,Tc1-2
G5A,FBte0000174,nnnnnnnn,Dmel,G5A
G7,FBte0000690,AC003788,Dmel,G7
GYPSY7,FBte0000171,AE003788,Dmel,gypsy7
GYPSY8,FBte0000168,AE003788,Dmel,gypsy8
GYPSY9,FBte0000764,AE002591,Dmel,gypsy9
GYPSY10,FBte0000351,nnnnnnnn,Dmel,gypsy10
GYPSY11,FBte0001041,nnnnnnnn,Dmel,gypsy11
GYPSY12,FBte0001136,AE003789,Dmel,gypsy12
INVADER6,FBte0000591,NT_033778,Dmel,invader6
DNTOMRETA,FBte0000773,Z24451,Dana,Tom
DH14600,FBte0001189,U14600,Dhyd,Bungy
DVRPPDV,FBte0000647,X03936,Dvir,Dv
DBU133521,FBte0000588,AJ133521,Dbuz,Osvaldo
DK29466,FBte0000028,U29466,Dkoe,Gandalf
DMMAR,FBte0000102,M14653,Dmau,mariner
DHMINOS,FBte0000026,Z29098,Dhyd,Minos
DFU309320,FBte0001144,AJ309320,Dfun,Isfun-1
U73803,FBte0000039,U73803,Dsub,bilbo
DSV28T24,FBte0000284,X60177,Dsil,Loa
DHUHUH3,FBte0000190,X63028,Dhet,Uhu
DSRN,FBte0000536,D83207,Dsim,ninja
DV26847,FBte0000017,U26847,Dvir,Helena
DV49102,FBte0000158,U49102,Dvir,Penelope
DVULYSS,FBte0000322,X56645,Dvir,Ulysses
AF056940,FBte0000032,AF056940,Dvir,Tv1
AF009439,FBte0000942,AF009439,Dvir,Tel
DMTRAM,FBte0000464,Y08905,Dmir,TRAM
DMTRIM,FBte0000176,X59239,Dmir,TRIM
TV1,FBte0000415,Z49253,Dvir,Paris
SPOCK,FBte0000948,AY144571,Dmir,spock
WORF,FBte0000599,AY144572,Dmir,worf
VEGE,FBte0000353,AF518730,Dwil,Vege
MAR,FBte0000892,AF518731,Dwil,Mar
HEL,FBte0000984,nnnnnnnn,Dmel,Helena
P_T,FBte0000823,AF012414,Damb,P-element
P_O,FBte0001485,X71634,Dbif,P-element_O
P_M,FBte0001486,X60990,Dbif,P-element_M
SGM,FBte0000136,AF043638,Dsub,SGM
DDBARI1,FBte0000962,Y13852,Ddip,Bari1
TC3,FBte0000044,AC009537,Dmel,Tc3
Beagle2,FBte0001399,3R.Release.3,Dmel,HMS-Beagle2
DPSEMINIME,FBte0001487,AC131959,Dpse,INE-1
Q,FBte0000124,AE002612,Dmel,Q-element
BUT1,FBte0000332,AF162798,Dbuz,BuT1
BUT2,FBte0000339,AF368884,Dbuz,BuT2
BUT3,FBte0000935,AF368870,Dbuz,BuT3
BUT4,FBte0000890,AF368868,Dbuz,BuT4
BUT5,FBte0001188,AY187768,Dbuz,BuT5
BUT6,FBte0001122,AY187768,Dbuz,BuT6
ISBU1,FBte0001076,AF368900,Dbuz,INE-1
ISBU2,FBte0000793,AF368867,Dbuz,ISBu2
ISBU3,FBte0000139,AY313771,Dbuz,ISBu3
NEWTON,FBte0000407,AF368890,Dbuz,Newton
GALILEO,FBte0001080,AY187769,Dbuz,Galileo
KEPLER,FBte0000662,AF368884,Dbuz,Kepler
YAKHETA,FBte0000737,AF043258,Dyak,HeT-A
TARTVIR,FBte0000683,AY219709,Dvir,TART-element
HETAVIR,FBte0000538,AY369259,Dvir,HeT-A
TARTYAK,FBte0000886,AF468026,Dyak,TART-element
NEOR1A,FBte0001482,AF248067,Dnet,R1A-element
TAKR1A2,FBte0001071,U23198,Dtak,R1-element
MERCR1A3,FBte0001036,AF015277,Dmer,R1-element
NETR1B,FBte0001483,AF248068,Dnet,R1B-element
GEM,FBte0001481,AJ131629,Dsub,GEM-element
VIRUVIR,FBte0000291,AY369259,Dvir,U
DTEII,FBte0000242,M28878,Dtei,I-element
OSV,FBte0000587,AY089271,Dmel,Osvaldo
TAHRE,FBte0000148,AJ542581,Dmel,TAHRE
Xanthias,FBte0001316,FJ238509,Dmel,Xanthias
