embl_id,fb_id,source_id,flybase_name,species,te_name,te_type_gff,te_type_fasta,te_subtype_fasta
P_T,FBte0000823,AF012414,Damb\P-element,Damb,P-element,terminal_inverted_repeat_element,?,?
DNTOMRETA,FBte0000773,Z24451,Dana\Tom,Dana,Tom,LTR_retrotransposon,?,?
P_M,FBte0001486,X60990,Dbif\P-element_M,Dbif,P-element_M,terminal_inverted_repeat_element,?,?
P_O,FBte0001485,X71634,Dbif\P-element_O,Dbif,P-element_O,terminal_inverted_repeat_element,?,?
ISBU3,FBte0000139,AY313771,Dbuz\ISBu3,Dbuz,ISBu3,terminal_inverted_repeat_element,?,?
BUT1,FBte0000332,AF162798,Dbuz\BuT1,Dbuz,BuT1,terminal_inverted_repeat_element,?,?
BUT3,FBte0000935,AF368870,Dbuz\BuT3,Dbuz,BuT3,terminal_inverted_repeat_element,?,?
BUT6,FBte0001122,AY187768,Dbuz\BuT6,Dbuz,BuT6,terminal_inverted_repeat_element,?,?
BUT5,FBte0001188,AY187768,Dbuz\BuT5,Dbuz,BuT5,terminal_inverted_repeat_element,?,?
BUT2,FBte0000339,AF368884,Dbuz\BuT2,Dbuz,BuT2,terminal_inverted_repeat_element,?,?
DBU133521,FBte0000588,AJ133521,Dbuz\Osvaldo,Dbuz,Osvaldo,LTR_retrotransposon,?,?
NEWTON,FBte0000407,AF368890,Dbuz\Newton,Dbuz,Newton,foldback_element,?,?
GALILEO,FBte0001080,AY187769,Dbuz\Galileo,Dbuz,Galileo,foldback_element,?,?
KEPLER,FBte0000662,AF368884,Dbuz\Kepler,Dbuz,Kepler,foldback_element,?,?
BUT4,FBte0000890,AF368868,Dbuz\BuT4,Dbuz,BuT4,terminal_inverted_repeat_element,?,?
ISBU1,FBte0001076,AF368900,Dbuz\INE-1,Dbuz,INE-1,terminal_inverted_repeat_element,?,?
ISBU2,FBte0000793,AF368867,Dbuz\ISBu2,Dbuz,ISBu2,terminal_inverted_repeat_element,?,?
DDBARI1,FBte0000962,Y13852,Ddip\Bari1,Ddip,Bari1,terminal_inverted_repeat_element,?,?
DFU309320,FBte0001144,AJ309320,Dfun\Isfun-1,Dfun,Isfun-1,terminal_inverted_repeat_element,?,?
DHUHUH3,FBte0000190,X63028,Dhet\Uhu,Dhet,Uhu,terminal_inverted_repeat_element,?,?
DH14600,FBte0001189,U14600,Dhyd\Bungy,Dhyd,Bungy,SINE-like elements,?,?
DHMINOS,FBte0000026,Z29098,Dhyd\Minos,Dhyd,Minos,terminal_inverted_repeat_element,?,?
DK29466,FBte0000028,U29466,Dkoe\Gandalf,Dkoe,Gandalf,terminal_inverted_repeat_element,?,?
DMMAR,FBte0000102,M14653,Dmau\mariner,Dmau,mariner,terminal_inverted_repeat_element,?,?
TC3,FBte0000044,AC009537,Dmel\Tc3,Dmel,Tc3,terminal_inverted_repeat_element,DNA,Tc1-Mariner
DMTN1731,FBte0000003,X07656,Dmel\1731,Dmel,1731,LTR_retrotransposon,LTR,Copia
DMMDG3,FBte0000010,X95908,Dmel\mdg3,Dmel,mdg3,LTR_retrotransposon,LTR,Gypsy
DMRTMGD1,FBte0000015,X59545,Dmel\mdg1,Dmel,mdg1,LTR_retrotransposon,LTR,Gypsy
DMGYPF1A,FBte0000021,M12927,Dmel\gypsy,Dmel,gypsy,LTR_retrotransposon,LTR,Gypsy
DMCOPIA,FBte0000023,X02599,Dmel\copia,Dmel,copia,LTR_retrotransposon,LTR,Copia
DMRER2DM,FBte0000030,X51967,Dmel\R2-element,Dmel,R2-element,non_LTR_retrotransposon,LINE,R2
DMBARI1,FBte0000034,X67681,Dmel\Bari1,Dmel,Bari1,terminal_inverted_repeat_element,DNA,Tc1-Mariner
DMLINEJA,FBte0000088,M22874,Dmel\jockey,Dmel,jockey,non_LTR_retrotransposon,LINE,Jockey
DMIS176,FBte0000109,X01472,Dmel\17.6,Dmel,17.6,LTR_retrotransposon,LTR,Gypsy
DMRER1DM,FBte0000118,X51968,Dmel\R1A1-element,Dmel,R1A1-element,non_LTR_retrotransposon,LINE,R1
DMCR1A,FBte0000140,nnnnnnnn,Dmel\Cr1a,Dmel,Cr1a,non_LTR_retrotransposon,LINE,CR1
TAHRE,FBte0000148,AJ542581,Dmel\TAHRE,Dmel,TAHRE,non_LTR_retrotransposon,LINE,Jockey
GYPSY8,FBte0000168,AE003788,Dmel\gypsy8,Dmel,gypsy8,LTR_retrotransposon,LTR,Gypsy
HELITRON1_DM,FBte0000170,AE002840,Dmel\Helitron,Dmel,Helitron,helitron,RC,Helitron
