Tinker,FBte0000001,AC004377,Dmel/diver,LTR_retrotransposon
DMTN1731,FBte0000003,X07656,Dmel/1731,LTR_retrotransposon
F,FBte0000005,AC005198,Dmel/F-element,non_LTR_retrotransposon
412,FBte0000007,nnnnnnnn,Dmel/412,LTR_retrotransposon
DMMDG3,FBte0000010,X95908,Dmel/mdg3,LTR_retrotransposon
DMRTMGD1,FBte0000015,X59545,Dmel/mdg1,LTR_retrotransposon
DV26847,FBte0000017,U26847,Dvir/Helena,non_LTR_retrotransposon
DMGYPF1A,FBte0000021,M12927,Dmel/gypsy,LTR_retrotransposon
DMCOPIA,FBte0000023,X02599,Dmel/copia,LTR_retrotransposon
DHMINOS,FBte0000026,Z29098,Dhyd/Minos,terminal_inverted_repeat_element
DK29466,FBte0000028,U29466,Dkoe/Gandalf,terminal_inverted_repeat_element
DMRER2DM,FBte0000030,X51967,Dmel/R2-element,non_LTR_retrotransposon
AF056940,FBte0000032,AF056940,Dvir/Tv1,LTR_retrotransposon
DMBARI1,FBte0000034,X67681,Dmel/Bari1,terminal_inverted_repeat_element
PPI251,FBte0000037,X06779,Dmel/P-element,terminal_inverted_repeat_element
U73803,FBte0000039,U73803,Dsub/bilbo,non_LTR_retrotransposon
DMDM11,FBte0000042,X14037,Dmel/micropia,LTR_retrotransposon
TC3,FBte0000044,AC009537,Dmel/Tc3,terminal_inverted_repeat_element
DMLINEJA,FBte0000088,M22874,Dmel/jockey,non_LTR_retrotransposon
DM_ROO,FBte0000100,AY180917,Dmel/roo,LTR_retrotransposon
DMMAR,FBte0000102,M14653,Dmau/mariner,terminal_inverted_repeat_element
DOC2,FBte0000103,nnnnnnnn,Dmel/Doc2-element,non_LTR_retrotransposon
DME9736,FBte0000104,AJ009736,Dmel/Idefix,LTR_retrotransposon
DMIS176,FBte0000109,X01472,Dmel/17.6,LTR_retrotransposon
DMAURA,FBte0000112,nnnnnnnn,Dmel/aurora-element,LTR_retrotransposon
